eV	counts/s
33.14357	85
33.15657	98
33.16957	36
33.18257	3
33.19557	41
33.20857	-65
33.22157	23
33.23457	10
33.24757	-21
33.26057	18
33.27357	129
33.28657	65
33.29957	-44
33.31257	-25
33.32557	24
33.33857	-23
33.35157	-4
33.36457	21
33.37757	5
33.39057	42
33.40357	12
33.41657	28
33.42957	-18
33.44257	49
33.45557	42
33.46857	23
33.48157	26
33.49457	-50
33.50757	-4
33.52057	34
33.53357	34
33.54657	33
33.55957	59
33.57257	48
33.58557	35
33.59857	57
33.61157	-44
33.62457	55
33.63757	-86
33.65057	32
33.66357	108
33.67657	4
33.68957	-2
33.70257	41
33.71557	-76
33.72857	-1
33.74157	-6
33.75457	-36
33.76757	21
33.78057	-49
33.79357	32
33.80657	5
33.81957	-26
33.83257	43
33.84557	80
33.85857	10
33.87157	-30
33.88457	75
33.89757	-4
33.91057	38
33.92357	16
33.93657	-5
33.94957	2
33.96257	62
33.97557	86
33.98857	-17
34.00157	-88
34.01457	-18
34.02757	-54
34.04057	-38
34.05357	-26
34.06657	-19
34.07957	69
34.09257	80
34.10557	-7
34.11857	20
34.13157	-49
34.14457	-76
34.15757	9
34.17057	-33
34.18357	-46
34.19657	-5
34.20957	14
34.22257	51
34.23557	40
34.24857	-44
34.26157	-9
34.27457	75
34.28757	22
34.30057	-1
34.31357	13
34.32657	31
34.33957	41
34.35257	-12
34.36557	-19
34.37857	-9
34.39157	-25
34.40457	-28
34.41757	33
34.43057	61
34.44357	46
34.45657	-2
34.46957	-27
34.48257	84
34.49557	102
34.50857	13
34.52157	115
34.53457	5
34.54757	-73
34.56057	-13
34.57357	26
34.58657	29
34.59957	0
34.61257	-18
34.62557	-34
34.63857	18
34.65157	17
34.66457	54
34.67757	35
34.69057	0
34.70357	-85
34.71657	-30
34.72957	-72
34.74257	-56
34.75557	-93
34.76857	35
34.78157	38
34.79457	-90
34.80757	-4
34.82057	43
34.83357	-36
34.84657	-79
34.85957	117
34.87257	-35
34.88557	-29
34.89857	22
34.91157	69
34.92457	-13
